var str='';
for (var i in $('.taptap-topic-item')){
	str +=$('.taptap-topic-item').eq(i).find(".item-text-title").eq(0).find('h2').eq(0).text()+','
【汉家江湖】登录出现黑屏/卡死/闪退的童鞋，看过来看过来~~,2017-12-12,https://www.taptap.com/topic/1951966
【江湖X:汉家江湖】 祈福商城更新预告 2017.12.07,2017-12-08,https://www.taptap.com/topic/1912227
【江湖X:汉家江湖】 祈福商城更新预告 2017.11.30,2017-11-30,https://www.taptap.com/topic/1853788
【汉家江湖】每周答疑20171130,2017-11-30,https://www.taptap.com/topic/1853358
【江湖X:汉家江湖】 祈福商城更新预告 2017.11.23,2017-11-29,https://www.taptap.com/topic/1793342
【专题收集】技能类/剧情类意见收集,2017-11-29,https://www.taptap.com/topic/1779105
【每周答疑】20171121,2017-11-28,https://www.taptap.com/topic/1779092
【江湖X：汉家江湖】 2017.11.17在线更新说明,2017-11-21,https://www.taptap.com/topic/1747329
技能答疑 | 剑雨伤害计算公式是什么？,2017-11-21,https://www.taptap.com/topic/1683712
【汉家江湖】20171115每周答疑,2017-11-21,https://www.taptap.com/topic/1735938
【江湖X：汉家江湖】 2017年11月21日停服维护公告,2017-11-20,https://www.taptap.com/topic/1770422
【江湖X：汉家江湖】 1.0.12版本体力系统调整计划公示17.11.11,2017-11-20,https://www.taptap.com/topic/1705184
聊一聊接下来汉家江湖的改动方向,2017-11-18,https://www.taptap.com/topic/1425014
评论区捉虫行动来啦~,2017-11-15,https://www.taptap.com/topic/1735956
【江湖X：汉家江湖】 2017.11.15在线更新说明,2017-11-14,https://www.taptap.com/topic/1729220
【江湖X：汉家江湖】关于挑战副本掉落的更新预告2017.11.11,2017-11-12,https://www.taptap.com/topic/1708650
【江湖X：汉家江湖】（1711115）屈心临时赠送体力活动修复,2017-11-11,https://www.taptap.com/topic/1706607
【江湖X：汉家江湖】2017.11.11在线更新说明 今晚体力邮件发放,2017-11-11,https://www.taptap.com/topic/1706472
《江湖X：汉家江湖》祈福概率配置补偿说明2017.11.11,2017-11-11,https://www.taptap.com/topic/1704450
《江湖X:汉家江湖》1.0.12版本更新公告,2017-11-11,https://www.taptap.com/topic/1698182
【汉家松鼠】中秋活动松鼠图 下载地址~~,2017-11-07,https://www.taptap.com/topic/1409252
【汉家江湖】20171017每周答疑,2017-10-28,https://www.taptap.com/topic/1461680
【汉家松鼠】黄河三圣活动公示~撒花~~,2017-10-25,https://www.taptap.com/topic/1534441
【汉家江湖】每周答疑1023,2017-10-25,https://www.taptap.com/topic/1529544
回复玩家“可爱的萌面大虾”手写信,2017-10-24,https://www.taptap.com/topic/1468472
【汉家江湖】20171010 每周答疑,2017-10-17,https://www.taptap.com/topic/1403347
中秋活动补充说明（2） 2017.10.1,2017-10-01,https://www.taptap.com/topic/1305230
关于中秋活动延迟开放的公告 2017.10.1,2017-10-01,https://www.taptap.com/topic/1300403
《江湖X：汉家江湖》1.0.11版本调整修复2017/9/30,2017-09-30,https://www.taptap.com/topic/1292480
《江湖X：汉家江湖》1.0.11版本调整修复2017/9/30,2017-09-30,https://www.taptap.com/topic/1290735
【汉家松鼠】每周答疑20170926,2017-09-27,https://www.taptap.com/topic/1260766
《江湖X:汉家江湖》及《江湖X》音乐原声上架网易云音乐,2017-09-20,https://www.taptap.com/topic/845408
【汉家松鼠】20170912每周答疑,2017-09-16,https://www.taptap.com/topic/1167855
那些七夕挂机你未选的剧情,2017-09-08,https://www.taptap.com/topic/1144288
攻略宝典 | 萌新帖前期任务,2017-09-06,https://www.taptap.com/topic/1135994
【汉家松鼠】每周答疑20170905,2017-09-05,https://www.taptap.com/topic/1131254
【汉家江湖】每周答疑0829,2017-09-05,https://www.taptap.com/topic/1071882
【汉家江湖】答疑一周一会20170822,2017-09-02,https://www.taptap.com/topic/1016641
【松鼠答疑】20170818,2017-08-29,https://www.taptap.com/topic/971351
《江湖X:汉家江湖》1.0.10版本更新公告、七夕活动公告,2017-08-28,https://www.taptap.com/topic/1038313
《江湖X:汉家江湖》1.0.8更新预告,2017-08-07,https://www.taptap.com/topic/843969
（数值向）洗练相关概率公式变动说明,2017-08-06,https://www.taptap.com/topic/845388
《江湖X:汉家江湖》1.0.8游戏的改动方向公示,2017-08-05,https://www.taptap.com/topic/711358
江湖X:汉家江湖 版本1.0.7停服更新公告,2017-07-07,https://www.taptap.com/topic/639448
《江湖X》一周年之际《江湖X:汉家江湖》更新预告,2017-07-03,https://www.taptap.com/topic/615194
合区论剑卡顿修复及补偿预告,2017-07-01,https://www.taptap.com/topic/615180
《江湖X:汉家江湖》 安卓版本1.0.6更新公告,2017-06-25,https://www.taptap.com/topic/585683
《江湖X:汉家江湖》 安卓版本1.0.5更新公告,2017-06-23,https://www.taptap.com/topic/573368
